"V1","V2","V3","V4","V5","V6"
26.2072673632021,26.0283566003267,27.1656990823615,26.8121526220723,27.5971891604624,27.4341154144421
31.0270936842289,30.8810612129667,31.9877795675162,31.5917622837624,32.4042643316173,32.2435206582487
41.2225097301373,41.1422042769001,42.205457543348,41.7482111699479,42.6628948678258,42.3794420284983
34.3613486979021,34.2004688219787,35.3364582679553,34.9209716931727,35.7089236725256,35.5254708783133
51.9707458559544,51.8897880919031,52.9562106726648,52.6008399474823,53.4060758821243,53.1618615691483
36.9379862747192,36.9021501613735,37.9930163578851,37.5044359523455,38.168274298828,38.1695766253471
41.2134868099433,41.1675112283285,42.0651032987441,41.6401439787455,42.444247067854,42.3525346902049
17.2861581717396,17.2122617256571,18.2594889552924,17.8285757390142,18.5468969903097,18.4986205603751
11.1848431000742,11.1331935684697,12.063029885968,11.7355284061568,12.5452867254773,12.3610216902333
14.4280837795635,14.2521405719183,15.3340383071816,14.9343562045626,15.7928513870617,15.5429952830173
22.2194299218343,21.978875040858,23.1494527127438,22.7413221631793,23.5163202351437,23.3487672884762
9.17111387927999,9.1453180773128,10.1786582310461,9.77216942932634,10.728889437789,10.4033211658858
24.0526576003223,24.0517716838528,25.0270478579705,24.5580681465717,25.2841118756978,25.1587713294369
9.20717839231796,8.99216046544719,10.1342612133435,9.76813369980201,10.5215137306252,10.3859108600728
42.2280015556326,42.554811922845,43.7601079000868,43.196536094919,43.4810457879106,43.4671256655329
18.0433702992869,17.9387784593253,19.0819073073102,18.5733560072331,19.3711801244485,19.2102025855736
26.0063114556842,25.9023871876043,27.0031605376539,26.554349163449,27.1859446463958,27.2341209202326
19.9640468456794,19.729201969099,20.8846069619266,20.4115575799249,21.2775403561858,21.1502296901984
54.2021957288456,54.0764026684275,55.1721782355552,54.6661251654616,55.6179854320529,55.3632478601473
25.1850505905042,24.9798755978592,26.1745341394652,25.7128148187865,26.5313495785266,26.3450675525488
30.1099964678472,29.7860076732464,30.9070651149576,30.4224669809931,31.3311762815906,31.1876681589027
31.5161522661299,31.4750021087964,32.2881525530655,31.8859700816007,32.1852492884009,32.6849439790474
47.3456321008145,47.1927802015767,48.2329569171853,47.8441433363592,48.6519828847078,48.4598869076555
23.3565768775268,23.2373916549988,24.2515338436273,23.9269772433078,24.7579006578374,24.5700995735615
7.56712031064792,7.37601257189649,8.31333544340084,7.98359510212177,8.82226767426253,8.7117465632906
