Ensemble,SC,Lasso,MC,MDD
1.2289284969537062,1.3711253538607544,3.1950445250112067,2.0849409122367084,3.2034461604275632
0.7834594786842161,0.8712737821327958,2.3891578531069264,1.2958884660674355,2.3415136031874706
1.207896248307999,1.3570968777203296,2.4669079875096616,1.9634392799547495,2.6782003807462695
1.1008049589615048,1.4876625393795737,2.7257044171945237,1.9026494252734534,3.0238015722192393
1.084797390244255,1.4154594073206643,2.9929241374744997,1.9203272314804627,3.1522925933200088
1.2349872447417305,1.3815096590239122,4.018103074896503,2.167123802131425,3.4603081904649184
1.0226911852212417,1.3116494916069092,3.8247448166147353,1.902340130078737,3.6554842487943064
1.0953725625518222,1.3146307317118733,3.252645601096361,1.906723109866335,3.4025639494629654
0.8822781175020858,0.9763955159431005,4.012498105809094,1.5059733291035786,3.7387761846982612
1.022556076435105,1.5346754550006516,3.9894414503268623,1.3648349097124746,2.8295665897272233
1.4127369216588275,1.7082309329591712,5.8964088754001445,2.2400144879865387,5.365557390215276
1.045355550046797,1.3521232062887418,4.914153335577971,2.167361240294407,4.753491024722693
1.0357823344163284,1.2806640840284231,4.924990465276365,2.3452784770118438,5.297049324709556
1.150112845078504,1.5632508277989825,5.963460274627961,2.271442373423676,5.971794714853081
1.3206882800095796,1.5599858025623414,6.401761071231624,1.852731439771546,5.619319048704545
